Stock,Company Name,Ticker,Market Cap
GENERAL MILLS, INC. (XNYS:GIS),GENERAL MILLS, INC.,GIS, $45,725,982,624 
ARCHER-DANIELS-MIDLAND COMPANY (XNYS:ADM),ARCHER-DANIELS-MIDLAND COMPANY,ADM, $50,276,769,904 
CADENCE DESIGN SYSTEMS, INC. (XNAS:CDNS),CADENCE DESIGN SYSTEMS, INC.,CDNS, $43,364,575,800 
MOODY'S CORPORATION (XNYS:MCO),MOODY'S CORPORATION,MCO, $44,412,505,000 
O'Reilly Automotive, Inc. (XNAS:ORLY),O'Reilly Automotive, Inc.,ORLY, $47,113,240,040 
CENTENE CORPORATION (XNYS:CNC),CENTENE CORPORATION,CNC, $42,211,242,080 
AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP),AMERICAN ELECTRIC POWER COMPANY, INC.,AEP, $43,991,042,420 
FORD MOTOR COMPANY (XNYS:F),FORD MOTOR COMPANY,F, $49,006,701,220 
CONSTELLATION BRANDS, INC. (XWBO:STZ),CONSTELLATION BRANDS, INC.,STZ, $44,930,650,000 
EMERSON ELECTRIC CO. (XNYS:EMR),EMERSON ELECTRIC CO.,EMR, $49,172,508,000 
REPUBLIC SERVICES, INC. (XNYS:RSG),REPUBLIC SERVICES, INC.,RSG, $42,189,732,882 
KLA Corporation (XNAS:KLAC),KLA Corporation,KLAC, $41,213,600,914 
VALERO ENERGY CORPORATION (XNYS:VLO),VALERO ENERGY CORPORATION,VLO, $50,325,766,122 
AUTOZONE, INC. (XNYS:AZO),AUTOZONE, INC.,AZO, $44,841,552,228 
CHIPOTLE MEXICAN GRILL, INC. (XNYS:CMG),CHIPOTLE MEXICAN GRILL, INC.,CMG, $43,030,209,863 
CORTEVA, INC. (XNYS:CTVA),CORTEVA, INC.,CTVA, $45,185,568,000 
ECOLAB INC. (XNYS:ECL),ECOLAB INC.,ECL, $41,582,774,172 
THE KRAFT HEINZ COMPANY (XWBO:KHC),THE KRAFT HEINZ COMPANY,KHC, $43,307,040,000 
PAYCHEX, INC. (XNAS:PAYX),PAYCHEX, INC.,PAYX, $40,422,464,000 
AUTODESK, INC. (XNAS:ADSK),AUTODESK, INC.,ADSK, $42,703,390,000 
AMPHENOL CORPORATION (XNYS:APH),AMPHENOL CORPORATION,APH, $42,559,950,555 
L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX),L3HARRIS TECHNOLOGIES, INC.,LHX, $47,302,511,040 
CINTAS CORPORATION (XNAS:CTAS),CINTAS CORPORATION,CTAS, $40,612,027,282 
DEVON ENERGY CORPORATION (XNYS:DVN),DEVON ENERGY CORPORATION,DVN, $48,645,092,000 
FREEPORT-MCMORAN INC. (XNYS:FCX),FREEPORT-MCMORAN INC.,FCX, $45,779,518,100 
PHILLIPS 66 (XNYS:PSX),PHILLIPS 66,PSX, $48,316,772,484 
BIOGEN INC. (XNAS:BIIB),BIOGEN INC.,BIIB, $39,192,751,980 
FORTINET, INC. (XNAS:FTNT),FORTINET, INC.,FTNT, $42,382,993,000 
NXP Semiconductors NV (XNAS:NXPI),NXP Semiconductors NV,NXPI, $38,142,432,125 
FEDEX CORPORATION (XNYS:FDX),FEDEX CORPORATION,FDX, $39,873,479,954 
ROPER TECHNOLOGIES, INC. (XNYS:ROP),ROPER TECHNOLOGIES, INC.,ROP, $39,300,939,008 
KIMBERLY-CLARK CORPORATION (XNYS:KMB),KIMBERLY-CLARK CORPORATION,KMB, $38,475,437,308 
ENPHASE ENERGY, INC. (XNAS:ENPH),ENPHASE ENERGY, INC.,ENPH, $34,135,239,600 
KINDER MORGAN, INC. (XNYS:KMI),KINDER MORGAN, INC.,KMI, $39,657,150,720 
MOTOROLA SOLUTIONS, INC. (XNYS:MSI),MOTOROLA SOLUTIONS, INC.,MSI, $37,779,448,938 
EXELON CORPORATION (XNAS:EXC),EXELON CORPORATION,EXC, $36,479,557,440 
The Travelers Companies, Inc. (XNYS:TRV),The Travelers Companies, Inc.,TRV, $41,299,059,925 
AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG),AMERICAN INTERNATIONAL GROUP, INC.,AIG, $40,492,157,325 
ARTHUR J. GALLAGHER & CO. (XNYS:AJG),ARTHUR J. GALLAGHER & CO.,AJG, $36,886,624,320 
AGILENT TECHNOLOGIES, INC. (XNYS:A),AGILENT TECHNOLOGIES, INC.,A, $38,449,753,128 
SYSCO CORPORATION (XNYS:SYY),SYSCO CORPORATION,SYY, $40,565,969,895 
AFLAC INCORPORATED (XNYS:AFL),AFLAC INCORPORATED,AFL, $38,527,949,005 
CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF),CAPITAL ONE FINANCIAL CORPORATION,COF, $36,940,750,000 
TE Connectivity Ltd (XNYS:TEL),TE Connectivity Ltd,TEL, $36,746,302,710 
REALTY INCOME CORPORATION (XNYS:O),REALTY INCOME CORPORATION,O, $35,590,991,325 
Xcel Energy Inc. (XNAS:XEL),Xcel Energy Inc.,XEL, $33,311,770,170 
THE WILLIAMS COMPANIES, INC. (XNYS:WMB),THE WILLIAMS COMPANIES, INC.,WMB, $38,408,065,600 
ARISTA NETWORKS, INC. (XNYS:ANET),ARISTA NETWORKS, INC.,ANET, $33,629,080,860 
MSCI INC. (XNYS:MSCI),MSCI INC.,MSCI, $32,320,320,351 
JOHNSON CONTROLS INTERNATIONAL PLC (XNYS:JCI),JOHNSON CONTROLS INTERNATIONAL PLC,JCI, $36,534,498,312 
IQVIA HOLDINGS INC (XNYS:IQV),IQVIA HOLDINGS INC,IQV, $33,226,382,385 
HESS CORPORATION (XNYS:HES),HESS CORPORATION,HES, $41,977,588,142 
MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP),MICROCHIP TECHNOLOGY INCORPORATED,MCHP, $34,171,147,770 
THE ALLSTATE CORPORATION (XNYS:ALL),THE ALLSTATE CORPORATION,ALL, $32,457,095,648 
Trane Technologies plc (XNYS:TT),Trane Technologies plc,TT, $33,566,582,564 
TWITTER, INC. (XNYS:TWTR),TWITTER, INC.,TWTR, $38,178,132,918 
NEWMONT CORPORATION (XNYS:NEM),NEWMONT CORPORATION,NEM, $33,628,242,784 
HILTON WORLDWIDE HOLDINGS INC. (XNYS:HLT),HILTON WORLDWIDE HOLDINGS INC.,HLT, $35,994,735,502 
THE HERSHEY COMPANY (XNYS:HSY),THE HERSHEY COMPANY,HSY, $46,781,311,548 
ELECTRONIC ARTS INC. (XNAS:EA),ELECTRONIC ARTS INC.,EA, $34,752,882,047 
BROWN-FORMAN CORPORATION (XNYS:BF.B),BROWN-FORMAN CORPORATION,BF.B, $30,519,310,000 
RESMED INC. (XNYS:RMD),RESMED INC.,RMD, $31,843,130,000 
PRUDENTIAL FINANCIAL, INC. (XNYS:PRU),PRUDENTIAL FINANCIAL, INC.,PRU, $36,563,880,000 
M&T BANK CORPORATION (XNYS:MTB),M&T BANK CORPORATION,MTB, $27,970,033,000 
DEXCOM, INC. (XNAS:DXCM),DEXCOM, INC.,DXCM, $37,562,226,624 
Dow Inc. (XNYS:DOW),Dow Inc.,DOW, $33,660,510,725 
THE KROGER CO. (XNYS:KR),THE KROGER CO.,KR, $31,230,628,869 
THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),THE BANK OF NEW YORK MELLON CORPORATION,BK, $32,517,104,399 
PARKER-HANNIFIN CORPORATION (XNYS:PH),PARKER-HANNIFIN CORPORATION,PH, $34,606,054,912 
ALBEMARLE CORPORATION (XNYS:ALB),ALBEMARLE CORPORATION,ALB, $31,625,947,288 
SBA Communications Corporation (XNAS:SBAC),SBA Communications Corporation,SBAC, $26,775,394,060 
DOLLAR TREE, INC. (XNAS:DLTR),DOLLAR TREE, INC.,DLTR, $32,159,592,570 
CONSOLIDATED EDISON, INC. (XNYS:ED),CONSOLIDATED EDISON, INC.,ED, $30,093,382,827 
YUM! BRANDS, INC. (XNYS:YUM),YUM! BRANDS, INC.,YUM, $31,592,753,775 
ILLUMINA, INC. (XNAS:ILMN),ILLUMINA, INC.,ILMN, $34,563,571,000 
GLOBAL PAYMENTS INC. (XNYS:GPN),GLOBAL PAYMENTS INC.,GPN, $31,665,861,325 
CARRIER GLOBAL CORPORATION (XNYS:CARR),CARRIER GLOBAL CORPORATION,CARR, $29,615,319,845 
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,CTSH, $31,212,073,772 
SIMON PROPERTY GROUP, INC. (XNYS:SPG),SIMON PROPERTY GROUP, INC.,SPG, $33,076,424,088 
